expert,bs," tokens"," prev_tokens"," hiddens"," encoder_time"," decoder_time"
2,160,25,21,512,8.454952392578125,12.957255859375
2,112,36,34,512,8.619673461914063,14.621265869140625
2,96,33,42,512,7.042684326171875,14.34240966796875
2,152,25,26,512,8.477979736328125,13.78628662109375
2,72,52,50,512,8.579454345703125,14.62424560546875
2,272,15,15,512,8.106178588867188,13.603236083984376
2,104,31,39,512,7.1633740234375,14.843616943359375
2,368,11,10,512,8.271085815429688,13.620101318359374
2,32,96,106,512,7.432462768554688,14.15593017578125
2,104,35,37,512,8.355932006835937,14.08259033203125
4,160,25,21,512,9.57285400390625,13.922354736328124
4,112,36,34,512,9.76471923828125,15.627908935546875
4,96,33,42,512,8.10969482421875,15.4063671875
4,152,25,26,512,9.74020751953125,14.92705322265625
4,72,52,50,512,9.81831298828125,15.692574462890626
4,272,15,15,512,9.353060913085937,14.814576416015624
4,104,31,39,512,10.079542236328125,18.5755029296875
4,368,11,10,512,11.26954345703125,17.512734375
4,32,96,106,512,10.46801513671875,18.691256103515624
4,104,35,37,512,11.66820068359375,18.717869873046876
8,160,25,21,512,12.4264599609375,16.2153369140625
8,112,36,34,512,12.129949951171875,17.782353515625
8,96,33,42,512,10.332498779296875,17.532611083984374
8,152,25,26,512,11.9465087890625,17.099683837890623
8,72,52,50,512,12.061884765625,17.81286865234375
8,272,15,15,512,11.614818115234375,16.88405029296875
8,104,31,39,512,10.768365478515625,17.67266357421875
8,368,11,10,512,11.77862548828125,17.419581298828124
8,32,96,106,512,11.652049560546875,17.93682373046875
8,104,35,37,512,12.183536376953125,17.909647216796873
16,160,25,21,512,16.8703662109375,20.70363037109375
16,112,36,34,512,17.0111572265625,22.52811279296875
16,96,33,42,512,14.92070556640625,22.4589404296875
16,152,25,26,512,16.943594970703124,21.8149267578125
16,72,52,50,512,16.970943603515625,22.66680419921875
16,272,15,15,512,16.562615966796876,21.67564208984375
16,104,31,39,512,15.224453125,22.32382568359375
16,368,11,10,512,16.484539794921876,21.41285400390625
16,32,96,106,512,15.424765625,22.531962890625
16,104,35,37,512,16.7981201171875,22.40932861328125
32,160,25,21,512,27.45126708984375,30.38884765625
32,112,36,34,512,27.62777587890625,32.36314208984375
32,96,33,42,512,24.380361328125,31.991337890625
32,152,25,26,512,27.02591796875,31.60017822265625
32,72,52,50,512,27.17586181640625,32.35249267578125
32,272,15,15,512,27.68721435546875,31.3974072265625
32,104,31,39,512,24.54498291015625,31.75856201171875
32,368,11,10,512,27.66269287109375,30.80265625
32,32,96,106,512,24.8617529296875,31.963955078125
32,104,35,37,512,27.20059814453125,32.7368603515625
