batch,E,M,K,N,best_results
1,1,40,512,1024,0.02164354
2,2,40,512,1024,0.020545819
4,4,40,512,1024,0.0422247799999
8,8,40,512,1024,0.06589188
16,16,40,512,1024,0.09244354
32,32,40,512,1024,0.1492059999999
1,1,128,512,1024,0.043008019999999994
2,2,128,512,1024,0.029148819999999995
4,4,128,512,1024,0.07125486
8,8,128,512,1024,0.1117486
16,16,128,512,1024,0.25956239999999997
32,32,128,512,1024,0.38936699999999996
1,1,128,1024,1024,0.08416662
2,2,128,1024,1024,0.07729082000000001
4,4,128,1024,1024,0.1401644
8,8,128,1024,1024,0.222054
16,16,128,1024,1024,0.3757756
32,32,128,1024,1024,0.9613480000000001
1,1,128,3072,768,0.11295299999999998
2,2,128,3072,768,0.1966176
4,4,128,3072,768,0.2899396
8,8,128,3072,768,0.4823453999999999
1,16,128,3072,768,0.792321
1,32,128,3072,768,1.41713
